Date,Sleep Score,Total Sleep Score,REM Sleep Score,Deep Sleep Score,Sleep Efficiency Score,Restfulness Score,Sleep Latency Score,Sleep Timin Score,Total Sleep Duration,Total Bedtime ,Awake Time,REM Sleep Duration,Light Sleep Duration,Deep Sleep Duration,Restless Sleep,Sleep Efficiency,Sleep Latency,Sleep Timing,Bedtime Start,Bedtime End,Average Resting Heart Rate,Lowest Resting Heart Rate,Average HRV,Temperature Deviation (°C),Temperature Trend Deviation,Respiratory Rate,Activity Score,Stay Active Score,Move Every Hour Score,Meet Daily Targets Score,Training Frequency Score,Training Volume Score,Activity Burn,Total Burn,Steps,Equivalent Walking Distance,Inactive Time,Rest Time,Low Activity Time,Medium Activity Time,High Activity Time,Non-wear Time,Average MET,Long Periods of Inactivity,Readiness Score,Previous Night Score,Sleep Balance Score,Previous Day Activity Score,Activity Balance Score,Temperature Score,Resting Heart Rate Score,HRV Balance Score,Recovery Index Score
2/4/22,72,76,80,95,81,64,83,21,26880,31980,5100,6030,14610,6240,33,84,1260,16110,2022-02-04T01:19:03-05:00,2022-02-04T10:12:03-05:00,50.33,45,59,-0.06,0.09,12.25,58,100,100,1,40,26,10,2055,252,131,5580,32520,720,0,0,47580,1.09375,0,84,72,77,None,98,100,88,84,100
2/5/22,58,57,42,59,55,59,94,42,21960,30120,8160,3240,14850,3870,36,73,810,13650,2022-02-05T01:07:59-05:00,2022-02-05T09:29:59-05:00,52.12,48,59,-0.22,0.03,12.375,56,100,95,1,40,18,45,2105,916,715,10500,31080,1560,300,0,42960,1.125,1,78,50,71,100,92,97,79,82,93
2/6/22,71,86,80,72,72,52,91,20,29610,37020,7410,6030,18840,4740,46,80,720,17820,2022-02-06T00:58:51-05:00,2022-02-06T11:15:51-05:00,52.53,46,64,0.23,0.16,11.75,51,100,100,1,1,7,48,2114,949,581,9300,36180,3180,0,0,37740,1.125,0,82,70,76,None,97,85,79,83,100
2/7/22,47,46,20,55,53,48,81,33,19050,26400,7350,1620,13770,3660,47,72,480,14430,2022-02-07T01:11:22-05:00,2022-02-07T08:31:22-05:00,52.29,48,57,-0.03,0.19,13.5,51,100,100,1,1,8,21,2065,450,308,5220,29880,840,120,0,50340,1.125,0,62,32,66,None,96,100,70,80,25
2/8/22,67,68,64,77,65,61,64,66,24900,32460,7560,4830,14970,5100,37,77,1650,15420,2022-02-07T23:49:48-05:00,2022-02-08T08:50:48-05:00,55.84,50,55,-0.15,0.12,12,51,100,100,1,1,9,32,2072,637,578,3420,31320,1080,180,0,50400,1.125,0,72,64,65,100,90,100,62,77,67
2/9/22,65,63,52,78,60,55,78,76,23550,31380,7830,4020,14370,5160,39,75,450,14100,2022-02-08T23:51:05-05:00,2022-02-09T08:34:05-05:00,52.42,46,59,-0.21,0.01,12,51,100,100,1,1,7,11,2054,243,187,1980,28680,480,0,0,55260,1.125,0,75,61,63,None,96,98,90,76,77
2/10/22,66,71,61,73,65,62,72,51,25620,33420,7800,4680,16170,4770,37,77,300,15930,2022-02-10T00:11:33-05:00,2022-02-10T09:28:33-05:00,54.03,48,53,-0.08,0.01,12.125,72,100,95,25,40,81,548,2613,515,8040,9000,34260,1320,120,2400,39300,1.40625,1,74,62,64,None,96,100,81,73,86
2/11/22,70,73,72,72,67,55,97,56,26130,33360,7230,5430,15990,4710,38,78,840,16890,2022-02-10T23:45:13-05:00,2022-02-11T09:01:13-05:00,55.65,51,52,-0.07,0.04,11.875,70,80,95,25,40,91,314,2531,7011,5111,30420,26880,14340,1620,60,13080,1.375,1,70,69,65,None,99,100,54,69,82
2/12/22,54,68,63,60,55,55,29,16,24780,33720,8940,4770,16050,3960,41,73,2430,16470,2022-02-12T01:43:19-05:00,2022-02-12T11:05:19-05:00,57.41,50,49,0.47,0.28,12.25,72,100,100,25,40,85,133,2236,2776,2104,16560,36000,7560,360,0,25920,1.1875,0,60,43,65,89,97,65,38,64,100
2/13/22,57,58,39,67,74,53,75,30,22230,27600,5370,2970,14820,4440,44,81,1410,13200,2022-02-13T01:38:55-05:00,2022-02-13T09:18:55-05:00,55.78,52,57,0.08,0.34,12.25,71,100,100,25,40,72,37,2095,742,579,7860,30060,2520,0,0,45960,1.125,0,70,48,61,100,100,98,56,65,91
